0,1,2,3,4,5,6,7
13.177,13.153,13.243,826221,202039,4.09,0.06,0
13.302,13.243,13.363,2741743,905733,3.03,0.19,0
13.383,13.363,13.413,401537,158953,2.53,0.03,0
13.416,13.413,13.42,41230,104672,0.39,0,0
13.49,13.42,13.593,3179094,858113,3.7,0.22,0
13.633,13.593,13.73,1024821,233157,4.4,0.07,0
13.793,13.73,13.823,440030,110722,3.97,0.03,0
13.874,13.823,13.913,2008845,731795,2.75,0.14,0
13.944,13.913,13.967,837126,319360,2.62,0.06,0
13.996,13.967,14.027,1023663,380704,2.69,0.07,0
14.108,14.027,15.19,29867177,8957875,3.33,2.1,1
14.162,14.153,14.167,9841,19479,0.51,0,0
14.17,14.167,14.197,28278,22354,1.27,0,0
14.233,14.197,14.297,440622,141310,3.12,0.03,0
14.356,14.297,14.407,428492,107326,3.99,0.03,0
14.409,14.407,14.417,15589,30404,0.51,0,0
14.438,14.417,14.48,71858,35379,2.03,0.01,0
14.536,14.49,14.573,248466,88449,2.81,0.02,0
14.594,14.573,14.623,88148,39185,2.25,0.01,0
14.63,14.623,14.637,9453,15241,0.62,0,0
14.683,14.637,14.69,111500,68434,1.63,0.01,0
14.695,14.69,14.727,107265,68736,1.56,0.01,0
14.774,14.727,14.823,905217,369628,2.45,0.06,0
14.874,14.823,14.947,2161828,687058,3.15,0.15,0
14.969,14.947,15.013,245280,96131,2.55,0.02,0
15.042,15.013,15.057,107719,51339,2.1,0.01,0
15.06,15.057,15.063,15086,38439,0.39,0,0
15.069,15.063,15.077,32570,50197,0.65,0,0
15.147,15.077,15.19,623556,184343,3.38,0.04,0
15.249,15.19,15.32,4203264,1533490,2.74,0.29,0
15.338,15.32,15.36,247884,114504,2.16,0.02,0
15.439,15.36,15.523,1714728,291099,5.89,0.12,0
15.565,15.523,15.59,729780,229814,3.18,0.05,0
15.626,15.59,15.667,1055024,305228,3.46,0.07,0
15.675,15.667,15.737,516649,158152,3.27,0.04,0
15.743,15.737,15.763,133300,89795,1.48,0.01,0
15.803,15.763,15.85,710902,212713,3.34,0.05,0
15.905,15.85,15.943,800427,222171,3.6,0.06,0
15.991,15.943,16.04,1065781,282878,3.77,0.07,0
16.079,16.04,16.127,614892,166604,3.69,0.04,0
16.13,16.127,16.147,86847,87215,1,0.01,0
16.213,16.147,16.253,1754738,544546,3.22,0.12,0
16.297,16.253,16.377,2911144,775004,3.76,0.2,0
16.453,16.377,16.47,2640083,811841,3.25,0.19,0
16.567,16.47,16.633,56481782,13750029,4.11,3.96,0
16.711,16.633,16.74,2534504,547730,4.63,0.18,0
16.749,16.74,16.823,1236079,376608,3.28,0.09,0
16.865,16.823,16.89,495761,152064,3.26,0.03,0
16.92,16.89,16.96,444523,136047,3.27,0.03,0
17.018,16.96,17.047,1750358,619916,2.82,0.12,0
17.086,17.047,17.12,2364450,845764,2.8,0.17,0
17.243,17.12,17.303,52343631,11383108,4.6,3.67,0
17.308,17.303,17.337,346749,196240,1.77,0.02,0
17.364,17.337,17.41,677326,181498,3.73,0.05,0
17.443,17.41,17.467,409055,130201,3.14,0.03,0
17.496,17.467,17.533,571277,170826,3.34,0.04,0
17.57,17.533,17.657,1227054,260399,4.71,0.09,0
17.673,17.657,17.72,430973,139990,3.08,0.03,0
17.79,17.72,17.84,1189941,237333,5.01,0.08,0
17.892,17.84,17.937,896879,191142,4.69,0.06,0
17.953,17.937,18,473570,183203,2.58,0.03,0
18.052,18,18.127,1446048,447034,3.23,0.1,0
18.193,18.127,18.227,1223644,376734,3.25,0.09,0
18.259,18.227,18.293,694148,226333,3.07,0.05,0
18.326,18.293,18.393,983824,283306,3.47,0.07,0
18.398,18.393,18.443,212385,80648,2.63,0.01,0
18.519,18.443,18.583,2832748,807325,3.51,0.2,0
18.613,18.583,18.62,202636,106895,1.9,0.01,0
18.623,18.62,18.65,164438,105237,1.56,0.01,0
18.705,18.65,18.773,908433,189760,4.79,0.06,0
18.801,18.773,18.823,222094,85539,2.6,0.02,0
18.838,18.823,18.85,115425,77731,1.48,0.01,0
18.869,18.85,18.873,107395,88918,1.21,0.01,0
18.923,18.873,18.957,546445,144492,3.78,0.04,0
18.979,18.957,19.027,324880,85004,3.82,0.02,0
19.057,19.027,19.06,225844,165190,1.37,0.02,0
19.067,19.06,19.09,276702,173481,1.59,0.02,0
19.15,19.09,19.21,6507232,2446523,2.66,0.46,0
19.26,19.21,19.307,1052377,287037,3.67,0.07,0
19.336,19.307,19.343,280537,149801,1.87,0.02,0
19.348,19.343,19.41,445841,149258,2.99,0.03,0
19.43,19.41,19.437,151095,103714,1.46,0.01,0
19.44,19.437,19.447,58196,99028,0.59,0,0
19.466,19.447,19.493,294007,115699,2.54,0.02,0
19.503,19.493,19.523,179245,103178,1.74,0.01,0
19.57,19.523,19.627,864900,248227,3.48,0.06,0
19.679,19.627,19.787,1020165,198230,5.15,0.07,0
19.849,19.787,19.9,514659,115077,4.47,0.04,0
19.958,19.9,20.007,2209892,833905,2.65,0.16,0
20.013,20.007,20.02,69155,90039,0.77,0,0
20.022,20.02,20.043,115284,89768,1.28,0.01,0
20.066,20.043,20.11,345792,111359,3.11,0.02,0
20.167,20.11,20.223,1002968,287337,3.49,0.07,0
20.233,20.223,20.26,118324,55932,2.12,0.01,0
20.289,20.26,20.293,112970,65064,1.74,0.01,0
20.299,20.293,20.33,138042,72422,1.91,0.01,0
20.38,20.33,20.437,1241156,399145,3.11,0.09,0
20.493,20.437,20.517,1367450,477393,2.86,0.1,0
20.554,20.517,20.587,2796648,1050615,2.66,0.2,0
20.615,20.587,20.687,1470684,531272,2.77,0.1,0
20.723,20.687,20.73,174318,80873,2.16,0.01,0
20.749,20.73,20.763,155129,82405,1.88,0.01,0
20.823,20.763,20.843,581904,178999,3.25,0.04,0
20.863,20.843,20.943,767175,191164,4.01,0.05,0
20.983,20.943,21.03,550878,144384,3.82,0.04,0
21.059,21.03,21.063,163745,99633,1.64,0.01,0
21.07,21.063,21.107,206268,98234,2.1,0.01,0
21.177,21.107,21.247,8039476,3008562,2.67,0.56,0
21.298,21.247,21.357,514574,108783,4.73,0.04,0
21.392,21.357,21.44,323124,81459,3.97,0.02,0
21.442,21.44,21.467,76242,54050,1.41,0.01,0
21.59,21.467,21.653,43464171,11194794,3.88,3.05,0
21.716,21.653,21.787,12670678,4942034,2.56,0.89,0
21.831,21.787,21.883,1877848,634189,2.96,0.13,0
21.887,21.883,21.957,386232,118741,3.25,0.03,0
22.074,21.957,22.13,1740479,469725,3.71,0.12,0
22.219,22.13,22.293,977914,130903,7.47,0.07,0
22.296,22.293,22.353,295412,99455,2.97,0.02,0
22.421,22.353,22.463,928585,199854,4.65,0.07,0
22.495,22.463,22.557,768199,187757,4.09,0.05,0
22.588,22.557,22.643,489290,113676,4.3,0.03,0
22.653,22.643,22.66,66203,73437,0.9,0,0
22.689,22.66,22.697,177976,94181,1.89,0.01,0
22.7,22.697,22.727,146953,92626,1.59,0.01,0
22.79,22.727,22.83,1024240,275897,3.71,0.07,0
22.859,22.83,22.96,1058115,205639,5.15,0.07,0
23.001,22.96,23.047,883142,280666,3.15,0.06,0
23.077,23.047,23.11,669731,248786,2.69,0.05,0
23.24,23.11,23.297,58956401,12000812,4.91,4.14,0
23.369,23.297,23.447,10793333,3994848,2.7,0.76,0
23.477,23.447,23.513,377545,111610,3.38,0.03,0
23.517,23.513,23.523,48039,82543,0.58,0,0
23.528,23.523,23.563,170680,87478,1.95,0.01,0
23.572,23.563,23.58,64428,67406,0.96,0,0
23.586,23.58,23.623,159632,72026,2.22,0.01,0
23.629,23.623,23.633,33048,58938,0.56,0,0
23.642,23.633,23.647,42921,57312,0.75,0,0
