[Header]
Data File Name	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Output Date	9/6/2019
Output Time	10:54:20 AM

[File Information]
Type	Data File
Generated	4/12/2019 12:27:12 PM
Generated by	Admin
Modified	9/6/2019 10:13:48 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	4/12/2019 12:29:18 PM
Type	Unknown
Level	4
Sample Name	STD_5ug scan
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Method File	D:\2019 KYB\Youngnam CHJ\OA_SCAN nontarget.qgm
Batch File	
Report Format File	REPORT.qgr
Tuning File	C:\GCMSsolution\System\Tune1\20190330.qgt

[File Description]


[MC Peak Table]
# of Peaks	815
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
20.163	321808	1.15
20.165	339903	1.22
20.167	344251	1.23
20.168	347953	1.24
20.170	334030	1.19
20.172	325623	1.16
20.173	314897	1.13
20.175	304289	1.09
20.177	286402	1.02
20.178	272498	0.97
20.180	271000	0.97
20.182	259473	0.93
20.183	249315	0.89
20.185	233769	0.84
20.187	222904	0.80
20.188	218669	0.78
20.190	211413	0.76
20.192	189581	0.68
20.193	185323	0.66
20.195	187177	0.67
20.197	171929	0.61
20.198	155401	0.56
20.200	147211	0.53
20.202	141140	0.50
20.203	143232	0.51
20.205	142851	0.51
20.207	138777	0.50
20.208	133505	0.48
20.210	127221	0.45
20.212	124825	0.45
20.213	128534	0.46
20.215	125795	0.45
20.217	120984	0.43
20.218	119546	0.43
20.220	110993	0.40
20.222	109407	0.39
20.223	104790	0.37
20.225	110069	0.39
20.227	112293	0.40
20.228	105459	0.38
20.230	102455	0.37
20.232	112125	0.40
20.233	109330	0.39
20.235	105783	0.38
20.237	109251	0.39
20.238	110269	0.39
20.240	110687	0.40
20.242	114326	0.41
20.243	115944	0.41
20.245	116636	0.42
20.247	114231	0.41
20.248	104548	0.37
20.250	106974	0.38
20.252	110361	0.39
20.253	103139	0.37
20.255	98848	0.35
20.257	108437	0.39
20.258	108771	0.39
20.260	98969	0.35
20.262	108962	0.39
20.263	111277	0.40
20.265	108126	0.39
20.267	109225	0.39
20.268	110830	0.40
20.270	111558	0.40
20.272	106835	0.38
20.273	107355	0.38
20.275	107248	0.38
20.277	107677	0.39
20.278	107294	0.38
20.280	114405	0.41
20.282	115652	0.41
20.283	109413	0.39
20.285	105665	0.38
20.287	116963	0.42
20.288	120296	0.43
20.290	119520	0.43
20.292	114989	0.41
20.293	113066	0.40
20.295	112983	0.40
20.297	123680	0.44
20.298	127375	0.46
20.300	127173	0.45
20.302	119985	0.43
20.303	118593	0.42
20.305	112905	0.40
20.307	120969	0.43
20.308	124670	0.45
20.310	121799	0.44
20.312	114707	0.41
20.313	112952	0.40
20.315	108544	0.39
20.317	114593	0.41
20.318	123769	0.44
20.320	124213	0.44
20.322	112457	0.40
20.323	124060	0.44
20.325	116316	0.42
20.327	108478	0.39
20.328	106440	0.38
20.330	110741	0.40
20.332	111623	0.40
20.333	110075	0.39
20.335	106140	0.38
20.337	117343	0.42
20.338	118742	0.42
20.340	115453	0.41
20.342	114896	0.41
20.343	124440	0.45
20.345	129820	0.46
20.347	129941	0.46
20.348	137052	0.49
20.350	147499	0.53
20.352	159442	0.57
20.353	166388	0.60
20.355	177310	0.63
20.357	200406	0.72
20.358	209977	0.75
20.360	231849	0.83
20.362	239898	0.86
20.363	260261	0.93
20.365	291360	1.04
20.367	324883	1.16
20.368	345922	1.24
20.370	367831	1.32
20.372	375809	1.34
20.373	390565	1.40
20.375	413916	1.48
20.377	436865	1.56
20.378	455427	1.63
20.380	452706	1.62
20.382	444757	1.59
20.383	454055	1.62
20.385	460690	1.65
20.387	455778	1.63
20.388	450781	1.61
20.390	426480	1.53
20.392	404863	1.45
20.393	390427	1.40
20.395	371893	1.33
20.397	354013	1.27
20.398	330964	1.18
20.400	309724	1.11
20.402	299189	1.07
20.403	284492	1.02
20.405	272880	0.98
20.407	255341	0.91
20.408	232017	0.83
20.410	219236	0.78
20.412	204476	0.73
20.413	185251	0.66
20.415	183524	0.66
20.417	179839	0.64
20.418	171648	0.61
20.420	163649	0.59
20.422	153420	0.55
20.423	159487	0.57
20.425	151145	0.54
20.427	154648	0.55
20.428	144094	0.52
20.430	142062	0.51
20.432	142204	0.51
20.433	138567	0.50
20.435	137181	0.49
20.437	134078	0.48
20.438	143906	0.51
20.440	140899	0.50
20.442	131323	0.47
20.443	128799	0.46
20.445	135793	0.49
20.447	137402	0.49
20.448	137095	0.49
20.450	145211	0.52
20.452	149897	0.54
20.453	152179	0.54
20.455	155548	0.56
20.457	166325	0.59
20.458	185635	0.66
20.460	205932	0.74
20.462	214066	0.77
20.463	226088	0.81
20.465	240507	0.86
20.467	267572	0.96
20.468	294822	1.05
20.470	319836	1.14
20.472	336583	1.20
20.473	362764	1.30
20.475	373170	1.33
20.477	402101	1.44
20.478	429378	1.54
20.480	453737	1.62
20.482	484394	1.73
20.483	499483	1.79
20.485	510320	1.83
20.487	510077	1.82
20.488	520498	1.86
20.490	529566	1.89
20.492	528795	1.89
20.493	536026	1.92
20.495	536348	1.92
20.497	519586	1.86
20.498	490866	1.76
20.500	480186	1.72
20.502	474525	1.70
20.503	461614	1.65
20.505	443576	1.59
20.507	417196	1.49
20.508	400040	1.43
20.510	396883	1.42
20.512	394354	1.41
20.513	375039	1.34
20.515	376236	1.35
20.517	392504	1.40
20.518	398058	1.42
20.520	412567	1.48
20.522	444627	1.59
20.523	470849	1.68
20.525	492244	1.76
20.527	539278	1.93
20.528	585722	2.09
20.530	621272	2.22
20.532	667243	2.39
20.533	720222	2.58
20.535	766271	2.74
20.537	804666	2.88
20.538	858232	3.07
20.540	920283	3.29
20.542	980632	3.51
20.543	1041457	3.72
20.545	1066995	3.82
20.547	1062189	3.80
20.548	1080185	3.86
20.550	1086446	3.89
20.552	1094503	3.91
20.553	1105355	3.95
20.555	1112637	3.98
20.557	1098734	3.93
20.558	1031396	3.69
20.560	966398	3.46
20.562	942786	3.37
20.563	901725	3.22
20.565	846325	3.03
20.567	777406	2.78
20.568	704785	2.52
20.570	619487	2.22
20.572	564979	2.02
20.573	520816	1.86
20.575	482284	1.72
20.577	442862	1.58
20.578	398712	1.43
20.580	368259	1.32
20.582	342907	1.23
20.583	323556	1.16
20.585	302422	1.08
20.587	311559	1.11
20.588	325227	1.16
20.590	327346	1.17
20.592	327251	1.17
20.593	345916	1.24
20.595	371684	1.33
20.597	393421	1.41
20.598	398351	1.42
20.600	412334	1.47
20.602	427271	1.53
20.603	457959	1.64
20.605	501093	1.79
20.607	525989	1.88
20.608	539623	1.93
20.610	560950	2.01
20.612	579215	2.07
20.613	585151	2.09
20.615	586729	2.10
20.617	586059	2.10
20.618	576117	2.06
20.620	573724	2.05
20.622	567909	2.03
20.623	536925	1.92
20.625	501252	1.79
20.627	474250	1.70
20.628	437648	1.57
20.630	405898	1.45
20.632	379974	1.36
20.633	362652	1.30
20.635	337460	1.21
20.637	319836	1.14
20.638	289085	1.03
20.640	264732	0.95
20.642	241931	0.87
20.643	225305	0.81
20.645	218266	0.78
20.647	197880	0.71
20.648	183863	0.66
20.650	169901	0.61
20.652	161486	0.58
20.653	152120	0.54
20.655	141059	0.50
20.657	121125	0.43
20.658	118770	0.42
20.660	121929	0.44
20.662	115932	0.41
20.663	106473	0.38
20.665	107335	0.38
20.667	104756	0.37
20.668	109694	0.39
20.670	107079	0.38
20.672	112395	0.40
20.673	110775	0.40
20.675	104816	0.37
20.677	104760	0.37
20.678	110118	0.39
20.680	107235	0.38
20.682	103274	0.37
20.683	84415	0.30
20.685	94257	0.34
20.687	99288	0.36
20.688	94953	0.34
20.690	99647	0.36
20.692	107265	0.38
20.693	114418	0.41
20.695	113888	0.41
20.697	113977	0.41
20.698	110152	0.39
20.700	108637	0.39
20.702	107651	0.39
20.703	111555	0.40
20.705	123789	0.44
20.707	132342	0.47
20.708	133859	0.48
20.710	133011	0.48
20.712	127714	0.46
20.713	126163	0.45
20.715	127784	0.46
20.717	129915	0.46
20.718	123707	0.44
20.720	124277	0.44
20.722	133703	0.48
20.723	138471	0.50
20.725	138047	0.49
20.727	134648	0.48
20.728	132773	0.47
20.730	136071	0.49
20.732	138742	0.50
20.733	132647	0.47
20.735	132462	0.47
20.737	129387	0.46
20.738	136043	0.49
20.740	136112	0.49
20.742	136335	0.49
20.743	136727	0.49
20.745	138600	0.50
20.747	135116	0.48
20.748	136020	0.49
20.750	139263	0.50
20.752	134421	0.48
20.753	137802	0.49
20.755	134499	0.48
20.757	131992	0.47
20.758	132059	0.47
20.760	124378	0.44
20.762	118491	0.42
20.763	114877	0.41
20.765	118409	0.42
20.767	120538	0.43
20.768	119526	0.43
20.770	121019	0.43
20.772	119086	0.43
20.773	111547	0.40
20.775	117194	0.42
20.777	122286	0.44
20.778	119840	0.43
20.780	122586	0.44
20.782	121662	0.44
20.783	124329	0.44
20.785	133654	0.48
20.787	135466	0.48
20.788	138226	0.49
20.790	134672	0.48
20.792	142960	0.51
20.793	147730	0.53
20.795	150155	0.54
20.797	146827	0.53
20.798	158963	0.57
20.800	166946	0.60
20.802	170071	0.61
20.803	188762	0.68
20.805	203254	0.73
20.807	208651	0.75
20.808	204023	0.73
20.810	211337	0.76
20.812	213984	0.77
20.813	225566	0.81
20.815	225190	0.81
20.817	222661	0.80
20.818	221153	0.79
20.820	227287	0.81
20.822	236820	0.85
20.823	231777	0.83
20.825	227785	0.81
20.827	230131	0.82
20.828	225998	0.81
20.830	227292	0.81
20.832	225643	0.81
20.833	213225	0.76
20.835	212659	0.76
20.837	208927	0.75
20.838	205903	0.74
20.840	207607	0.74
20.842	199672	0.71
20.843	203609	0.73
20.845	209093	0.75
20.847	209970	0.75
20.848	214680	0.77
20.850	215145	0.77
20.852	216869	0.78
20.853	220474	0.79
20.855	224487	0.80
20.857	238180	0.85
20.858	237558	0.85
20.860	238839	0.85
20.862	249143	0.89
20.863	243853	0.87
20.865	242414	0.87
20.867	245863	0.88
20.868	236355	0.85
20.870	225670	0.81
20.872	230509	0.82
20.873	243338	0.87
20.875	237315	0.85
20.877	227710	0.81
20.878	221297	0.79
20.880	221037	0.79
20.882	221375	0.79
20.883	210807	0.75
20.885	200093	0.72
20.887	195469	0.70
20.888	189635	0.68
20.890	178740	0.64
20.892	184673	0.66
20.893	181956	0.65
20.895	177984	0.64
20.897	179149	0.64
20.898	182092	0.65
20.900	169756	0.61
20.902	171348	0.61
20.903	163575	0.59
20.905	163089	0.58
20.907	168811	0.60
20.908	163236	0.58
20.910	168356	0.60
20.912	168302	0.60
20.913	155708	0.56
20.915	140034	0.50
20.917	137281	0.49
20.918	141156	0.50
20.920	142218	0.51
20.922	150216	0.54
20.923	136940	0.49
20.925	126677	0.45
20.927	119568	0.43
20.928	122343	0.44
20.930	135683	0.49
20.932	137572	0.49
20.933	130288	0.47
20.935	123569	0.44
20.937	128472	0.46
20.938	124398	0.44
20.940	117625	0.42
20.942	117549	0.42
20.943	117788	0.42
20.945	115598	0.41
20.947	128212	0.46
20.948	134056	0.48
20.950	133035	0.48
20.952	132026	0.47
20.953	132123	0.47
20.955	136733	0.49
20.957	140055	0.50
20.958	132449	0.47
20.960	126811	0.45
20.962	144944	0.52
20.963	148346	0.53
20.965	158423	0.57
20.967	155949	0.56
20.968	157620	0.56
20.970	164291	0.59
20.972	172017	0.62
20.973	173327	0.62
20.975	180465	0.65
20.977	181983	0.65
20.978	193897	0.69
20.980	196936	0.70
20.982	193693	0.69
20.983	205948	0.74
20.985	206778	0.74
20.987	189110	0.68
20.988	188298	0.67
20.990	192741	0.69
20.992	195518	0.70
20.993	203248	0.73
20.995	203646	0.73
20.997	192413	0.69
20.998	187201	0.67
21.000	175205	0.63
21.002	178665	0.64
21.003	175758	0.63
21.005	176126	0.63
21.007	171254	0.61
21.008	178846	0.64
21.010	174098	0.62
21.012	162769	0.58
21.013	149692	0.54
21.015	150655	0.54
21.017	145766	0.52
21.018	137507	0.49
21.020	131817	0.47
21.022	133694	0.48
21.023	134390	0.48
21.025	138265	0.49
21.027	129266	0.46
21.028	124138	0.44
21.030	125825	0.45
21.032	129118	0.46
21.033	121380	0.43
21.035	119566	0.43
21.037	124925	0.45
21.038	129066	0.46
21.040	125996	0.45
21.042	123404	0.44
21.043	129308	0.46
21.045	126485	0.45
21.047	136851	0.49
21.048	142869	0.51
21.050	149728	0.54
21.052	146932	0.53
21.053	143951	0.51
21.055	145113	0.52
21.057	150224	0.54
21.058	160904	0.58
21.060	149365	0.53
21.062	145340	0.52
21.063	146742	0.52
21.065	149468	0.53
21.067	153252	0.55
21.068	161482	0.58
21.070	146007	0.52
21.072	144308	0.52
21.073	151726	0.54
21.075	144684	0.52
21.077	142544	0.51
21.078	146088	0.52
21.080	145667	0.52
21.082	135067	0.48
21.083	137151	0.49
21.085	130921	0.47
21.087	126503	0.45
21.088	126594	0.45
21.090	129600	0.46
21.092	132320	0.47
21.093	124864	0.45
21.095	117771	0.42
21.097	124626	0.45
21.098	124362	0.44
21.100	126875	0.45
21.102	125111	0.45
21.103	124798	0.45
21.105	118171	0.42
21.107	116328	0.42
21.108	123693	0.44
21.110	119608	0.43
21.112	113811	0.41
21.113	123862	0.44
21.115	124809	0.45
21.117	130539	0.47
21.118	134176	0.48
21.120	136442	0.49
21.122	140448	0.50
21.123	151185	0.54
21.125	163165	0.58
21.127	180576	0.65
21.128	201458	0.72
21.130	221308	0.79
21.132	233005	0.83
21.133	256997	0.92
21.135	292474	1.05
21.137	345696	1.24
21.138	401055	1.43
21.140	455843	1.63
21.142	525320	1.88
21.143	633434	2.27
21.145	745670	2.67
21.147	865034	3.09
21.148	987622	3.53
21.150	1120755	4.01
21.152	1272292	4.55
21.153	1440787	5.15
21.155	1627183	5.82
21.157	1813451	6.49
21.158	1994644	7.13
21.160	2144408	7.67
21.162	2263386	8.09
21.163	2392651	8.56
21.165	2543609	9.10
21.167	2643606	9.45
21.168	2776410	9.93
21.170	2863370	10.24
21.172	2934519	10.50
21.173	2993596	10.71
21.175	3049782	10.91
21.177	3078546	11.01
21.178	3067470	10.97
21.180	3008702	10.76
21.182	2919730	10.44
21.183	2826926	10.11
21.185	2725124	9.75
21.187	2608183	9.33
21.188	2448378	8.76
21.190	2251257	8.05
21.192	2051364	7.34
21.193	1844750	6.60
21.195	1631885	5.84
21.197	1422168	5.09
21.198	1232234	4.41
21.200	1074671	3.84
21.202	917859	3.28
21.203	792577	2.83
21.205	666414	2.38
21.207	548804	1.96
21.208	455099	1.63
21.210	371914	1.33
21.212	320415	1.15
21.213	283224	1.01
21.215	244952	0.88
21.217	212921	0.76
21.218	188142	0.67
21.220	173643	0.62
21.222	160166	0.57
21.223	146409	0.52
21.225	140484	0.50
21.227	140128	0.50
21.228	136544	0.49
21.230	135686	0.49
21.232	132687	0.47
21.233	123119	0.44
21.235	117059	0.42
21.237	112646	0.40
21.238	117376	0.42
21.240	118116	0.42
21.242	121054	0.43
21.243	115084	0.41
21.245	106867	0.38
21.247	92841	0.33
21.248	103164	0.37
21.250	106125	0.38
21.252	113051	0.40
21.253	112698	0.40
21.255	114009	0.41
21.257	115044	0.41
21.258	112258	0.40
21.260	109935	0.39
21.262	109849	0.39
21.263	112077	0.40
21.265	110766	0.40
21.267	107972	0.39
21.268	101446	0.36
21.270	110299	0.39
21.272	122295	0.44
21.273	118952	0.43
21.275	122192	0.44
21.277	122546	0.44
21.278	123409	0.44
21.280	129500	0.46
21.282	132629	0.47
21.283	131914	0.47
21.285	135810	0.49
21.287	134529	0.48
21.288	143234	0.51
21.290	150063	0.54
21.292	147462	0.53
21.293	146537	0.52
21.295	156340	0.56
21.297	170216	0.61
21.298	166887	0.60
21.300	162091	0.58
21.302	162044	0.58
21.303	160190	0.57
21.305	157258	0.56
21.307	165755	0.59
21.308	168044	0.60
21.310	168079	0.60
21.312	166193	0.59
21.313	163606	0.59
21.315	162766	0.58
21.317	156207	0.56
21.318	158180	0.57
21.320	154959	0.55
21.322	159168	0.57
21.323	153076	0.55
21.325	141618	0.51
21.327	139285	0.50
21.328	135408	0.48
21.330	139601	0.50
21.332	137433	0.49
21.333	134478	0.48
21.335	134740	0.48
21.337	127369	0.46
21.338	118166	0.42
21.340	122361	0.44
21.342	121631	0.44
21.343	113192	0.40
21.345	119740	0.43
21.347	127457	0.46
21.348	130235	0.47
21.350	123234	0.44
21.352	115263	0.41
21.353	107969	0.39
21.355	108579	0.39
21.357	113914	0.41
21.358	117111	0.42
21.360	108646	0.39
21.362	111457	0.40
21.363	107804	0.39
21.365	112860	0.40
21.367	111955	0.40
21.368	103305	0.37
21.370	112997	0.40
21.372	114520	0.41
21.373	125899	0.45
21.375	124099	0.44
21.377	128416	0.46
21.378	123490	0.44
21.380	125257	0.45
21.382	135158	0.48
21.383	119053	0.43
21.385	126950	0.45
21.387	128655	0.46
21.388	129755	0.46
21.390	125249	0.45
21.392	137895	0.49
21.393	136595	0.49
21.395	124570	0.45
21.397	130326	0.47
21.398	124914	0.45
21.400	128414	0.46
21.402	126654	0.45
21.403	127949	0.46
21.405	126838	0.45
21.407	128057	0.46
21.408	123895	0.44
21.410	122920	0.44
21.412	120821	0.43
21.413	120761	0.43
21.415	120505	0.43
21.417	122684	0.44
21.418	117038	0.42
21.420	117616	0.42
21.422	115939	0.41
21.423	117735	0.42
21.425	113015	0.40
21.427	117871	0.42
21.428	115646	0.41
21.430	123279	0.44
21.432	122940	0.44
21.433	119964	0.43
21.435	108821	0.39
21.437	103604	0.37
21.438	106756	0.38
21.440	104132	0.37
21.442	110472	0.40
21.443	109286	0.39
21.445	104846	0.37
21.447	104543	0.37
21.448	103145	0.37
21.450	102652	0.37
21.452	108529	0.39
21.453	104530	0.37
21.455	107195	0.38
21.457	112275	0.40
21.458	106038	0.38
21.460	96392	0.34
21.462	90183	0.32
21.463	93825	0.34
21.465	93009	0.33
21.467	108903	0.39
21.468	113157	0.40
21.470	106972	0.38
21.472	103804	0.37
21.473	100592	0.36
21.475	95792	0.34
21.477	100153	0.36
21.478	119173	0.43
21.480	120737	0.43
21.482	124461	0.45
21.483	130369	0.47
21.485	144943	0.52
21.487	163313	0.58
21.488	183070	0.65
21.490	205144	0.73
21.492	220254	0.79
21.493	248378	0.89
21.495	286179	1.02
21.497	333107	1.19
21.498	382096	1.37
21.500	442845	1.58
21.502	525175	1.88
21.503	606133	2.17
21.505	695796	2.49
21.507	819162	2.93
21.508	957849	3.43
21.510	1086027	3.88
21.512	1251721	4.48
21.513	1455599	5.21
21.515	1660152	5.94
21.517	1873246	6.70
21.518	2097815	7.50
21.520	2336346	8.36
21.522	2578318	9.22
21.523	2837024	10.15
21.525	3083911	11.03
21.527	3382492	12.10
21.528	3684615	13.18
21.530	3997205	14.30
21.532	4236945	15.15
21.533	4488934	16.05
21.535	4824525	17.25
21.537	5117281	18.30
21.538	5358350	19.16
21.540	5623271	20.11
21.542	5989922	21.42
21.543	6265415	22.41
21.545	6514663	23.30
21.547	6719990	24.03
21.548	6942845	24.83
21.550	7156175	25.59
21.552	7432233	26.58
21.553	7740963	27.68
21.555	7942398	28.41
21.557	8083994	28.91
21.558	8277076	29.60
21.560	8466752	30.28
21.562	8617634	30.82
21.563	8835579	31.60
21.565	9026796	32.28
21.567	9217888	32.97
21.568	9417770	33.68
21.570	9573717	34.24
21.572	9748689	34.87
21.573	9983564	35.71
21.575	10196016	36.47
21.577	10383634	37.14
21.578	10585143	37.86
21.580	10702720	38.28
21.582	10859810	38.84
21.583	10898854	38.98
21.585	11014752	39.39
21.587	11103313	39.71
21.588	11193184	40.03
21.590	11308313	40.44
21.592	11282653	40.35
21.593	11132388	39.81
21.595	10863273	38.85
21.597	10465264	37.43
21.598	9982012	35.70
21.600	9258640	33.11
21.602	8298357	29.68
21.603	7044746	25.19
21.605	5664616	20.26
21.607	4368802	15.62
21.608	3236100	11.57
21.610	2323692	8.31
21.612	1610053	5.76
21.613	1127451	4.03
21.615	798237	2.85
21.617	577191	2.06
21.618	431733	1.54
21.620	336494	1.20
21.622	277802	0.99
21.623	228883	0.82
21.625	205560	0.74
21.627	195485	0.70
21.628	191714	0.69
21.630	190770	0.68
21.632	173909	0.62
21.633	163326	0.58
21.635	169101	0.60
21.637	177197	0.63
21.638	168158	0.60
21.640	170218	0.61
21.642	172700	0.62
21.643	173669	0.62
21.645	157970	0.56
21.647	156126	0.56
21.648	155210	0.56
21.650	156156	0.56
21.652	162223	0.58
21.653	155655	0.56
21.655	167553	0.60
21.657	170756	0.61
21.658	172257	0.62
21.660	182552	0.65
21.662	191960	0.69
21.663	193741	0.69
21.665	210790	0.75
21.667	245192	0.88
21.668	274574	0.98
21.670	313046	1.12
21.672	348778	1.25
21.673	411417	1.47
21.675	473853	1.69
21.677	539229	1.93
21.678	644094	2.30
21.680	763590	2.73
21.682	892468	3.19
21.683	1040761	3.72
21.685	1197853	4.28
21.687	1362119	4.87
21.688	1515931	5.42
21.690	1721257	6.16
21.692	1939587	6.94
21.693	2155453	7.71
21.695	2382637	8.52
21.697	2639553	9.44
21.698	2921970	10.45
21.700	3194200	11.42
21.702	3416158	12.22
21.703	3677610	13.15
21.705	3962820	14.17
21.707	4249812	15.20
21.708	4426485	15.83
21.710	4607102	16.48
21.712	4798710	17.16
21.713	4923196	17.61
21.715	4982090	17.82
21.717	5014103	17.93
21.718	4990273	17.85
21.720	4873267	17.43
21.722	4764955	17.04
21.723	4630975	16.56
21.725	4370800	15.63
21.727	4041128	14.45
21.728	3680778	13.16
21.730	3328602	11.90
21.732	2977549	10.65
21.733	2594645	9.28
21.735	2225462	7.96
21.737	1897831	6.79
21.738	1605640	5.74
21.740	1381803	4.94
21.742	1175772	4.21
21.743	972695	3.48
21.745	818250	2.93
21.747	704061	2.52
21.748	597993	2.14
21.750	531839	1.90
21.752	474151	1.70
21.753	431795	1.54
21.755	405246	1.45
21.757	389982	1.39
21.758	356356	1.27
21.760	314002	1.12
21.762	301903	1.08
21.763	296853	1.06
21.765	304479	1.09
21.767	300825	1.08
21.768	284525	1.02
21.770	270534	0.97
21.772	254188	0.91
21.773	271442	0.97
21.775	275007	0.98
21.777	259066	0.93
21.778	266524	0.95
21.780	260802	0.93
21.782	250145	0.89
21.783	247608	0.89
21.785	248340	0.89
21.787	238686	0.85
21.788	243907	0.87
21.790	247000	0.88
21.792	252777	0.90
21.793	254661	0.91
21.795	270398	0.97
21.797	274921	0.98
21.798	271686	0.97
21.800	285160	1.02
21.802	307333	1.10
21.803	327178	1.17
21.805	349152	1.25
21.807	370664	1.33
21.808	399385	1.43
21.810	426988	1.53
21.812	463173	1.66
21.813	500692	1.79
21.815	524355	1.88
21.817	558695	2.00
21.818	589691	2.11
21.820	606834	2.17
21.822	611895	2.19
21.823	628956	2.25
21.825	648566	2.32
21.827	682107	2.44
21.828	684862	2.45
21.830	674047	2.41
21.832	686549	2.46
21.833	694150	2.48
21.835	662919	2.37
21.837	628612	2.25
21.838	610056	2.18
21.840	573732	2.05
21.842	525026	1.88
21.843	494935	1.77
21.845	457833	1.64
21.847	420888	1.51
21.848	388023	1.39
21.850	356138	1.27
21.852	323184	1.16
21.853	299874	1.07
21.855	271688	0.97
21.857	246410	0.88
21.858	225425	0.81
21.860	216718	0.78
21.862	205270	0.73
21.863	199813	0.71
21.865	191382	0.68
21.867	177839	0.64
21.868	171082	0.61
21.870	176249	0.63
21.872	181505	0.65
21.873	178458	0.64
21.875	170007	0.61
21.877	169831	0.61
21.878	172771	0.62
21.880	164038	0.59
21.882	170032	0.61
21.883	170469	0.61
21.885	171606	0.61
21.887	178292	0.64
21.888	177101	0.63
21.890	169482	0.61
21.892	173079	0.62
21.893	172803	0.62
21.895	175970	0.63
21.897	177030	0.63
21.898	168970	0.60
21.900	163019	0.58
21.902	150157	0.54
21.903	148913	0.53
21.905	150383	0.54
21.907	153706	0.55
21.908	159238	0.57
21.910	157595	0.56
21.912	158473	0.57
21.913	161933	0.58
21.915	154906	0.55
21.917	145719	0.52
21.918	145497	0.52
21.920	146557	0.52
21.922	144133	0.52
21.923	136348	0.49
21.925	140929	0.50
21.927	141778	0.51
21.928	134722	0.48
21.930	131660	0.47
21.932	133128	0.48
21.933	139861	0.50
21.935	130364	0.47
21.937	126892	0.45
21.938	123319	0.44
21.940	121397	0.43
21.942	127560	0.46
21.943	116203	0.42
21.945	118533	0.42
21.947	114289	0.41
21.948	114432	0.41
21.950	118866	0.43
21.952	116185	0.42
21.953	115312	0.41
21.955	105619	0.38
21.957	124766	0.45
21.958	128368	0.46
21.960	117113	0.42
21.962	117361	0.42
21.963	115450	0.41
21.965	127997	0.46
21.967	113164	0.40
21.968	110812	0.40
21.970	108149	0.39
21.972	112397	0.40
21.973	119321	0.43
21.975	118666	0.42
21.977	113140	0.40
21.978	117022	0.42
21.980	126622	0.45
21.982	130078	0.47
21.983	130647	0.47
21.985	125502	0.45
21.987	120312	0.43
21.988	121368	0.43
21.990	127195	0.45
21.992	127347	0.46
21.993	122227	0.44
21.995	125166	0.45
21.997	126068	0.45
21.998	127153	0.45
22.000	120363	0.43
22.002	121663	0.44
22.003	130193	0.47
22.005	129105	0.46
22.007	125512	0.45
22.008	132255	0.47
22.010	132395	0.47
22.012	134141	0.48
22.013	142615	0.51
22.015	145813	0.52
22.017	142074	0.51
22.018	140550	0.50
22.020	146835	0.53
22.022	152237	0.54
22.023	148775	0.53
22.025	142202	0.51
22.027	142397	0.51
22.028	156230	0.56
22.030	164264	0.59
22.032	164368	0.59
22.033	168825	0.60
22.035	171983	0.62
22.037	169504	0.61
22.038	174520	0.62
22.040	178241	0.64
22.042	196113	0.70
22.043	208176	0.74
22.045	210719	0.75
22.047	229818	0.82
22.048	252018	0.90
22.050	247286	0.88
22.052	263113	0.94
22.053	273774	0.98
22.055	295662	1.06
22.057	320711	1.15
22.058	328462	1.17
22.060	351991	1.26
22.062	371979	1.33
22.063	398864	1.43
22.065	428201	1.53
22.067	456511	1.63
22.068	482384	1.73
22.070	505288	1.81
22.072	527662	1.89
22.073	524525	1.88
22.075	522226	1.87
22.077	528900	1.89
22.078	534239	1.91
22.080	545803	1.95
22.082	543306	1.94
22.083	519796	1.86
22.085	486622	1.74
22.087	455796	1.63
22.088	428686	1.53
22.090	403499	1.44
22.092	390163	1.40
22.093	362549	1.30
22.095	353902	1.27
22.097	334894	1.20
22.098	301028	1.08
22.100	276341	0.99
22.102	253649	0.91
22.103	219411	0.78
22.105	188668	0.67
22.107	174028	0.62
22.108	163835	0.59
22.110	158532	0.57
22.112	145862	0.52
22.113	141681	0.51
22.115	139125	0.50
22.117	134045	0.48
22.118	121246	0.43
22.120	134369	0.48
22.122	129454	0.46
22.123	126881	0.45
22.125	124587	0.45
22.127	114419	0.41
22.128	114653	0.41
22.130	113192	0.40
