[Header]
Data File Name	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Output Date	9/6/2019
Output Time	10:54:20 AM

[File Information]
Type	Data File
Generated	4/12/2019 12:27:12 PM
Generated by	Admin
Modified	9/6/2019 10:13:48 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	4/12/2019 12:29:18 PM
Type	Unknown
Level	4
Sample Name	STD_5ug scan
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Method File	D:\2019 KYB\Youngnam CHJ\OA_SCAN nontarget.qgm
Batch File	
Report Format File	REPORT.qgr
Tuning File	C:\GCMSsolution\System\Tune1\20190330.qgt

[File Description]


[MC Peak Table]
# of Peaks	815
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
62	9.117	9.087	9.150	TIC	1497037	627090	2.39	0.11	 V 		
63	9.162	9.150	9.200	TIC	681088	273209	2.49	0.05	 V 		
64	9.226	9.200	9.257	TIC	648813	206051	3.15	0.05	 V 		
65	9.272	9.257	9.283	TIC	284761	192481	1.48	0.02	 V 		
66	9.292	9.283	9.313	TIC	321511	193215	1.66	0.02	 V 		
67	9.344	9.313	9.403	TIC	1072630	328674	3.26	0.08	 V 		
68	9.456	9.403	9.543	TIC	1646767	279950	5.88	0.12	 V 		
69	9.573	9.543	9.603	TIC	410376	142188	2.89	0.03	 V 		
70	9.665	9.603	9.700	TIC	1721919	603635	2.85	0.12	 V 		
71	9.729	9.700	9.763	TIC	838170	307570	2.73	0.06	 V 		
72	9.857	9.763	9.900	TIC	5487544	1736658	3.16	0.38	 V 		
73	9.947	9.900	10.030	TIC	5722003	2215469	2.58	0.40	SV 		
74	10.022	10.017	10.030	TIC	1497	6535	0.23	0.00	T  		
75	10.100	10.030	10.137	TIC	6918060	2839479	2.44	0.49	 V 		
76	10.169	10.137	10.267	TIC	2351772	728295	3.23	0.16	 V 		
77	10.344	10.267	10.383	TIC	1054607	265615	3.97	0.07	 V 		
78	10.423	10.383	10.463	TIC	670888	190449	3.52	0.05	 V 		
79	10.505	10.463	10.573	TIC	731606	180285	4.06	0.05	 V 		
80	10.651	10.573	10.693	TIC	3708949	1084360	3.42	0.26	 V 		
81	10.778	10.693	10.840	TIC	38692061	12023413	3.22	2.71	 V 		
82	10.862	10.840	10.890	TIC	381466	150989	2.53	0.03	 V 		
83	10.940	10.890	10.970	TIC	1876740	766482	2.45	0.13	 V 		
84	11.008	10.970	11.077	TIC	4074779	1559116	2.61	0.29	 V 		
